"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"15","1415801_at","Gja1","gap junction protein, alpha 1","14609",-0.125475669890214,9.18009693696899,-0.24711620370685,0.808706503653351,0.992630117217603,-5.01163965318483
"16","1415802_at","Slc16a1","solute carrier family 16 (monocarboxylic acid transporters), member 1","20501",-0.23625957089746,8.97311436837746,-1.00613408452487,0.33284660293363,0.992630117217603,-4.73021789626256
"17","1415806_at","Plat","plasminogen activator, tissue","18791",-0.245368290649431,9.12672215199478,-0.95304536849432,0.358079999957663,0.992630117217603,-4.75963184315986
"18","1415809_at","Tpbpa","trophoblast specific protein alpha","21984",0.242138635943927,6.645603354734,0.704153766535789,0.493849713843546,0.992630117217603,-4.87947676347381
"19","1415810_at","Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1","18140",-0.225728569514508,7.4936922518514,-0.800883411925969,0.437697867172723,0.992630117217603,-4.83658079562166
"20","1415816_at","Cct7","chaperonin containing Tcp1, subunit 7 (eta)","12468",-0.0310646989662775,10.3974187468343,-0.171127699510888,0.866777725294712,0.994603195841335,-5.021547771576
"21","1415821_at","Nptn","neuroplastin","20320",-0.288633293873893,10.3377568443523,-1.26331583116606,0.228825236253346,0.992630117217603,-4.5708416261783
"22","1415824_at","Scd2","stearoyl-Coenzyme A desaturase 2","20250",0.565887813782563,9.48909906562169,0.823953893209603,0.424934101782526,0.992630117217603,-4.82564211157229
"23","1415828_a_at","Serp1","stress-associated endoplasmic reticulum protein 1","28146",-0.282237271367041,11.4943032681189,-0.841789559838933,0.415235001095774,0.992630117217603,-4.81700321300933
"24","1415830_at","Orc5","origin recognition complex, subunit 5","26429",-0.219334736674688,7.80359790611308,-0.953603845792731,0.357807698180357,0.992630117217603,-4.75932910377706
"25","1415841_at","Dync1i2","dynein cytoplasmic 1 intermediate chain 2","13427",-0.178705262463708,9.58792996241996,-0.815660055770393,0.429494434460195,0.992630117217603,-4.82960533328894
"26","1415849_s_at","Stmn1","stathmin 1","16765",0.0754999448554905,11.6509644674495,0.274514193963209,0.78803532571606,0.992630117217603,-5.00719539600498
"27","1415854_at","Kitl","kit ligand","17311",-0.0262168835104521,7.94219161745188,-0.0649688151281144,0.949194581074615,0.995461297879057,-5.02938592404358
"28","1415859_at","Eif3c","eukaryotic translation initiation factor 3, subunit C","56347",-0.0265904670575825,9.50538808670749,-0.0562713091086359,0.955987676859977,0.996805128231526,-5.02971616560409
"29","1415860_at","Kpna2","karyopherin (importin) alpha 2","16647",-0.0857471550165236,9.74972551567802,-0.380366619847354,0.709860997966454,0.992630117217603,-4.98573697766501
"30","1415863_at","Eif4g2","eukaryotic translation initiation factor 4, gamma 2","13690",-0.302962549994838,11.0241522376211,-1.35020322171444,0.200158725183637,0.992630117217603,-4.51131673708331
"31","1415864_at","Bpgm","2,3-bisphosphoglycerate mutase","12183",-0.444366694204265,7.52149590012124,-0.760941100184907,0.460372694090462,0.992630117217603,-4.85488098789091
"32","1415877_at","Dpysl3","dihydropyrimidinase-like 3","22240",0.747958203088602,8.09477038782353,1.61804004124934,0.12982608931324,0.992630117217603,-4.31300737911544
"33","1415888_at","Hdgf","heparin binding growth factor","15191",-0.511073955643631,10.9068729821864,-1.95271271478493,0.0728912264076181,0.992630117217603,-4.04138029423745
"34","1415893_at","Sgpl1","sphingosine phosphate lyase 1","20397",-0.403925736887185,8.5501222845197,-1.20215101101037,0.250902671972031,0.992630117217603,-4.61112164179234
"35","1415897_a_at","Mgst1","microsomal glutathione S-transferase 1","56615",-0.0970987159659646,12.2090731851768,-0.411445771219617,0.68749772090176,0.992630117217603,-4.97815815896405
"36","1415899_at","Junb","jun B proto-oncogene","16477",-0.173617855497751,9.31933839221113,-0.66551042618374,0.517444176231022,0.992630117217603,-4.89523758186953
"37","1415917_at","Mthfd1","methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase","108156",-0.0606350173383987,10.4966558461163,-0.258079220072596,0.800416210367469,0.992630117217603,-5.00991653503733
"38","1415920_at","Cstf2t","cleavage stimulation factor, 3' pre-RNA subunit 2, tau","83410",-0.358090586592686,9.57758177628328,-1.68666691256832,0.115678214312073,0.992630117217603,-4.25913607294667
"39","1415925_a_at","Nup62","nucleoporin 62","18226",-0.284253097639594,9.08477020682338,-1.65697045379356,0.121625558565187,0.992630117217603,-4.28258120326568
"40","1415927_at","Actc1","actin, alpha, cardiac muscle 1","11464",-0.206099337095559,11.1897390549358,-0.854312572900265,0.408513109375765,0.992630117217603,-4.81084353587047
"41","1415928_a_at","Map1lc3b","microtubule-associated protein 1 light chain 3 beta","67443",-0.0815412985597437,10.9798036091753,-0.413674355513679,0.685905514088043,0.992630117217603,-4.97759266060711
"42","1415931_at","Igf2","insulin-like growth factor 2","16002",0.172323639240159,7.1981360350805,0.617986679597683,0.547337079581104,0.992630117217603,-4.91351187908181
"43","1415935_at","Smoc2","SPARC related modular calcium binding 2","64074",-0.0355180679568328,7.98853249977378,-0.122168043903681,0.904648090136642,0.995461297879057,-5.02603580992662
"44","1415945_at","Mcm5","minichromosome maintenance complex component 5","17218",-0.020814554475975,8.19470857546121,-0.0762392636879449,0.940398144593196,0.995461297879057,-5.02888758120686
"45","1415947_at","Creg1","cellular repressor of E1A-stimulated genes 1","433375",-0.0602777157170706,10.4738146279103,-0.243603784600552,0.81136776376824,0.992630117217603,-5.01217611438703
"46","1415949_at","Cpe","carboxypeptidase E","12876",-0.308778123002329,8.75529388597288,-1.30223511573927,0.215601536265941,0.992630117217603,-4.54450291182442
"47","1415963_at","Hnrnph2","heterogeneous nuclear ribonucleoprotein H2","56258",-0.398057409425233,9.44985020856553,-1.56780969712863,0.141112892755115,0.992630117217603,-4.35171806982263
"48","1415965_at","Scd1","stearoyl-Coenzyme A desaturase 1","20249",-0.0756465454826234,10.1305380247524,-0.129228292351829,0.899169628464347,0.995461297879057,-5.02548068421497
"49","1415972_at","Marcks","myristoylated alanine rich protein kinase C substrate","17118",0.248726025346784,9.26820444134792,0.485354887815821,0.635561325019141,0.992630117217603,-4.95784579903882
"50","1415974_at","Map2k2","mitogen-activated protein kinase kinase 2","26396",-0.0858911001225025,9.74366103522922,-0.399493839226144,0.696063090367638,0.992630117217603,-4.98114068395978
"51","1415977_at","Isyna1","myo-inositol 1-phosphate synthase A1","71780",-0.0882226417682848,9.86730696806645,-0.350068410477116,0.731935346773342,0.992630117217603,-4.99257001812176
"52","1415987_at","Hdlbp","high density lipoprotein (HDL) binding protein","110611",-0.146938777326328,10.2868768860537,-0.875069145136748,0.397532456584162,0.992630117217603,-4.80046488110063
"53","1415989_at","Vcam1","vascular cell adhesion molecule 1","22329",-0.105859274640601,9.87420052881087,-0.334346651933432,0.74348994393209,0.992630117217603,-4.99589825979963
"54","1415994_at","Cyp2e1","cytochrome P450, family 2, subfamily e, polypeptide 1","13106",-0.632578774161361,9.6872135589032,-1.91676477398408,0.0776802718610742,0.992630117217603,-4.07150389344916
"55","1415996_at","Txnip","thioredoxin interacting protein","56338",-0.138981396221824,12.2184115343958,-0.603003905124177,0.556956654458926,0.992630117217603,-4.91901596060635
"56","1415999_at","Hey1","hairy/enhancer-of-split related with YRPW motif 1","15213",0.207658349095285,9.66716331985199,0.870634110941803,0.399861813931761,0.992630117217603,-4.80270010200117
"57","1416002_x_at","Cotl1","coactosin-like 1 (Dictyostelium)","72042",-0.178949007211401,9.25385139619309,-0.504272489717439,0.622570241470094,0.992630117217603,-4.95213492629892
"58","1416004_at","Ywhah","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide","22629",-0.216291731594003,11.3730129086605,-1.15732488812672,0.268114809796698,0.992630117217603,-4.63973950760781
"59","1416007_at","Satb1","special AT-rich sequence binding protein 1","20230",-0.0216275196222471,7.29145409660264,-0.0683183115394212,0.94657956438764,0.995461297879057,-5.02924611910256
"60","1416011_x_at","Ehd1","EH-domain containing 1","13660",-0.0519051715480625,9.91273273581161,-0.2246321230153,0.825783461698195,0.993035686851979,-5.0149425502716
"61","1416013_at","Pld3","phospholipase D family, member 3","18807",-0.13248935382218,10.6526997957123,-0.508619182083992,0.619603568814464,0.992630117217603,-4.9507935728288
"62","1416018_at","Dr1","down-regulator of transcription 1","13486",-0.421055849779249,7.2593468530217,-1.62310148417986,0.1287334099254,0.992630117217603,-4.30907201497381
"63","1416020_a_at","Atp5g1","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)","11951",-0.156600539107169,10.3616403641537,-0.625926948514223,0.542276619955216,0.992630117217603,-4.91054466300386
"64","1416023_at","Fabp3","fatty acid binding protein 3, muscle and heart","14077",-0.428574365722122,8.60471287635174,-2.17946487675845,0.0484310446241637,0.992630117217603,-3.84775025911136
"65","1416028_a_at","Jpt1","Jupiter microtubule associated homolog 1","15374",-0.333698636356143,9.14795845227566,-0.931175355089373,0.368858142070615,0.992630117217603,-4.77137347064272
"66","1416029_at","Klf10","Kruppel-like factor 10","21847",-0.114050769281585,8.81126203302204,-0.375172210481801,0.713626844150211,0.992630117217603,-4.98694751297127
"67","1416034_at","Cd24a","CD24a antigen","12484",-0.351571354223415,11.6313658348912,-1.07256865241335,0.303115024245358,0.992630117217603,-4.69164876525452
"68","1416035_at","Hif1a","hypoxia inducible factor 1, alpha subunit","15251",-0.236318028923629,7.9615861233323,-0.9535226949555,0.357847256558818,0.992630117217603,-4.75937310295685
"69","1416036_at","Fkbp1a","FK506 binding protein 1a","14225",-0.211588282493191,11.8686724550993,-0.678229671066298,0.509606619616991,0.992630117217603,-4.89013844402478
"70","1416038_at","Snd1","staphylococcal nuclease and tudor domain containing 1","56463",-0.243760799023114,10.3287746295104,-1.34482997687825,0.201842455636481,0.992630117217603,-4.51507284947674
"71","1416042_s_at","Nasp","nuclear autoantigenic sperm protein (histone-binding)","50927",-0.22772762437638,8.64973841166317,-1.19948682770815,0.251900988429222,0.992630117217603,-4.61284423669057
"72","1416056_a_at","Ndufb11","NADH:ubiquinone oxidoreductase subunit B11","104130",0.0216805756430283,11.3035321101702,0.108513111951889,0.91525793526945,0.995461297879057,-5.02702125296403
"73","1416064_a_at","Hspa5","heat shock protein 5","14828",-0.304794041784868,12.2567863201282,-1.25799759405152,0.230681467500665,0.992630117217603,-4.57439869551321
"74","1416067_at","Ifrd1","interferon-related developmental regulator 1","15982",-0.309907561010977,9.63164933793491,-0.900350919595005,0.384429421605771,0.992630117217603,-4.78754182145128
"75","1416068_at","Kars","lysyl-tRNA synthetase","85305",-0.382616208352481,9.30601638624339,-1.89489104568568,0.0807328765958733,0.992630117217603,-4.08973971444438
"76","1416071_at","Ddx18","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18","66942",-0.214676302288263,8.71028236863727,-1.06687998281635,0.305581164730955,0.992630117217603,-4.69502593897908
"77","1416072_at","Cd34","CD34 antigen","12490",0.0558949838911822,10.3609982291644,0.232617942462902,0.819707046869815,0.992630117217603,-5.01380505861151
"78","1416087_at","Ap1s1","adaptor protein complex AP-1, sigma 1","11769",-0.0420819444200351,9.97878425226026,-0.239747738121769,0.814292193041415,0.992630117217603,-5.01275632931757
"79","1416111_at","Cd83","CD83 antigen","12522",-0.386864163537282,8.48062777146478,-1.57619382862101,0.139172123118094,0.992630117217603,-4.34530112080504
"80","1416125_at","Fkbp5","FK506 binding protein 5","14229",-0.278081437291894,10.1798807639053,-0.374931537127495,0.713801518171334,0.992630117217603,-4.98700320986153
"81","1416129_at","Errfi1","ERBB receptor feedback inhibitor 1","74155",-0.110072042113176,10.7102469232613,-0.224614051118746,0.825797226042856,0.993035686851979,-5.01494507986164
"82","1416131_s_at","Efr3a","EFR3 homolog A","76740",-0.700958216766645,8.17661771904377,-1.99592140829002,0.0674931243887076,0.992630117217603,-4.00493522724146
"83","1416135_at","Apex1","apurinic/apyrimidinic endonuclease 1","11792",-0.0647854703198734,8.1517518581245,-0.355694480028173,0.727816814062452,0.992630117217603,-4.99134283569908
"84","1416136_at","Mmp2","matrix metallopeptidase 2","17390",0.152296376264617,10.7937678039215,0.445536275818184,0.66331562291806,0.992630117217603,-4.96918708587626
"85","1416146_at","Hspa4","heat shock protein 4","15525",-0.367279000878824,9.22078643480422,-2.11798080128517,0.0541722741046016,0.992630117217603,-3.90077575834965
"86","1416151_at","Srsf3","serine/arginine-rich splicing factor 3","20383",-0.366302896853342,7.63731722563363,-1.17110608201605,0.262728804882549,0.992630117217603,-4.63102475489259
"87","1416157_at","Vcl","vinculin","22330",-0.223295998086048,9.04053456085669,-0.350929658885271,0.731304309922693,0.992630117217603,-4.99238339296001
"88","1416158_at","Nr2f2","nuclear receptor subfamily 2, group F, member 2","11819",-0.15207195206256,8.53691009099748,-0.610804667136012,0.551936735638189,0.992630117217603,-4.91616577444472
"89","1416162_at","Rad21","RAD21 cohesin complex component","19357",-0.186529737005216,9.69489877782775,-0.455338962578915,0.656432667451977,0.992630117217603,-4.96648093690727
"90","1416164_at","Fbln5","fibulin 5","23876",-0.0775381294087385,10.6516104472136,-0.25593267494198,0.802037493780497,0.992630117217603,-5.01025972402186
"91","1416168_at","Serpinf1","serine (or cysteine) peptidase inhibitor, clade F, member 1","20317",-0.0815309573755716,8.57900475632052,-0.351134879082957,0.731153975060691,0.992630117217603,-4.9923388576612
"92","1416174_at","Rbbp9","retinoblastoma binding protein 9, serine hydrolase","26450",-0.112723807670275,7.0795716674729,-0.574990212058407,0.575187109533725,0.992630117217603,-4.92897209747496
"93","1416178_a_at","Plekhb1","pleckstrin homology domain containing, family B (evectins) member 1","27276",0.0540692558216307,10.1765160089443,0.299348624282949,0.769441204001949,0.992630117217603,-5.00277051283368
"94","1416179_a_at","Rdx","radixin","19684",-0.225634353493998,9.08206877122005,-0.677971552056797,0.509764977574275,0.992630117217603,-4.89024279004126
"95","1416187_s_at","Pnrc2","proline-rich nuclear receptor coactivator 2","52830",-0.193114098336066,8.36639173199301,-0.480730900961517,0.638756131192576,0.992630117217603,-4.95921020007309
"96","1416188_at","Gm2a","GM2 ganglioside activator protein","14667",-0.577892576063999,10.2872460181601,-1.69574106917918,0.11391262626898,0.992630117217603,-4.25193286252676
"97","1416190_a_at","Sec61a1","Sec61 alpha 1 subunit (S. cerevisiae)","53421",-0.249040631997158,9.15446964438111,-0.496200999607569,0.628097351947542,0.992630117217603,-4.95459684524155
"98","1416194_at","Cyp4b1","cytochrome P450, family 4, subfamily b, polypeptide 1","13120",-0.00674995093210917,12.407901232559,-0.0336380999278754,0.973680515767048,0.998583617054427,-5.03035357084655
"99","1416200_at","Il33","interleukin 33","77125",-0.119870919459549,9.81972356503529,-0.280052259925879,0.783876644136325,0.992630117217603,-5.00624124591387
"100","1416202_at","Phb2","prohibitin 2","12034",-0.255486593039526,10.3045161090877,-1.23446458359712,0.239039253602806,0.992630117217603,-4.59001465795709
"101","1416203_at","Aqp1","aquaporin 1","11826",-0.00839254621847019,12.2584334007633,-0.0503809150421694,0.960590375669232,0.997627158504228,-5.02991292933213
"102","1416205_at","Glb1","galactosidase, beta 1","12091",-0.498958461906937,8.10374419487685,-2.44841229114111,0.0294235609265287,0.992630117217603,-3.61311732022762
"103","1416213_x_at","Surf4","surfeit gene 4","20932",-0.31912606350812,9.84912394946666,-1.2594698035735,0.230166424959987,0.992630117217603,-4.57341504321262
"104","1416225_at","Adh1","alcohol dehydrogenase 1 (class I)","11522",0.0495007315190321,11.5553087288026,0.188671006150914,0.853285704386106,0.994603195841335,-5.01957720616667
"105","1416226_at","Arpc1b","actin related protein 2/3 complex, subunit 1B","11867",-0.259302234379316,11.658147278233,-1.16263865169664,0.266028086553524,0.992630117217603,-4.63638813785896
"106","1416235_at","Lrrc59","leucine rich repeat containing 59","98238",-0.226368129446811,9.93335253647685,-0.764189498246896,0.458501487499651,0.992630117217603,-4.85342322869029
"107","1416236_a_at","Mpzl2","myelin protein zero-like 2","14012",-0.260912765086231,5.27639844242597,-0.769257882434673,0.455591450601143,0.992630117217603,-4.85113786618759
"108","1416238_at","Tie1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1","21846",-0.000703722595558176,10.6738137072618,-0.00254813933419516,0.998005854588389,0.999936140164523,-5.03070602561885
"109","1416240_at","Psmb7","proteasome (prosome, macropain) subunit, beta type 7","19177",-0.273070308840477,11.4739793149382,-1.52469529424543,0.15146408145735,0.992630117217603,-4.38442413949233
"110","1416246_a_at","Coro1a","coronin, actin binding protein 1A","12721",-0.674405178975865,10.5238903772565,-0.932528950878787,0.368184553139917,0.992630117217603,-4.7706532138316
"111","1416249_at","Nadk","NAD kinase","192185",-0.270489351666468,10.0021488454776,-0.984663727210645,0.342893145919683,0.992630117217603,-4.74226725015785
"112","1416250_at","Btg2","BTG anti-proliferation factor 2","12227",0.186665468601065,10.2147699387474,0.376074111118199,0.712972419376419,0.992630117217603,-4.98673848598726
"113","1416255_at","Gja4","gap junction protein, alpha 4","14612",0.138429489380533,9.63145731461975,0.315966007107329,0.75708097904578,0.992630117217603,-4.99960008123148
"114","1416256_a_at","Tubb5","tubulin, beta 5 class I","22154",-0.000593542377785639,12.2468649339993,-0.0021392407606223,0.998325853473466,0.999936140164523,-5.03070662611806
"115","1416258_at","Tk1","thymidine kinase 1","21877",0.0319861939905479,8.65415244504458,0.156700357083777,0.877906227111999,0.994603195841335,-5.02302523020377
"116","1416271_at","Perp","PERP, TP53 apoptosis effector","64058",-0.494819883689381,8.85223969531615,-1.46488335374345,0.166889711113474,0.992630117217603,-4.42894836785613
"117","1416284_at","Mrpl28","mitochondrial ribosomal protein L28","68611",0.0125639379835647,9.40882487887154,0.0680423453839179,0.946794992574464,0.995461297879057,-5.02925790302704
"118","1416285_at","Ndufc1","NADH:ubiquinone oxidoreductase subunit C1","66377",-0.235591700273437,11.3899270317447,-0.958475801861447,0.355438423820512,0.992630117217603,-4.75668201928099
"119","1416291_at","Psmc4","proteasome (prosome, macropain) 26S subunit, ATPase, 4","23996",-0.127885852389761,9.56261695897875,-0.762862384610177,0.459265380364706,0.992630117217603,-4.85401944525293
"120","1416294_at","Scamp3","secretory carrier membrane protein 3","24045",-0.146131461208743,10.1748159146578,-0.726177719316661,0.480695437810201,0.992630117217603,-4.87013847420018
"121","1416295_a_at","Il2rg","interleukin 2 receptor, gamma chain","16186",-0.564593317240526,9.61769921764029,-1.09013270768491,0.295594235460281,0.992630117217603,-4.68113526044178
"122","1416299_at","Shcbp1","Shc SH2-domain binding protein 1","20419",0.132165625425843,7.2847986217914,0.533958745702818,0.602448036296708,0.992630117217603,-4.94275820526808
"123","1416301_a_at","Ebf1","early B cell factor 1","13591",0.62498411317276,5.45161545354218,1.67472306985694,0.118038818954147,0.992630117217603,-4.2685895304328
"124","1416304_at","Litaf","LPS-induced TN factor","56722",-0.243210649324567,10.8348145504178,-0.90155723843711,0.383811677951575,0.992630117217603,-4.78691753762979
"125","1416306_at","Clca1","chloride channel accessory 1","23844",3.15391030498555,9.28216962921377,4.82827313448804,0.000336690431657932,0.364523507341655,-1.77068947626659
"126","1416309_at","Nusap1","nucleolar and spindle associated protein 1","108907",0.0155422559895477,8.35854054307298,0.0711019481693599,0.944406814385673,0.995461297879057,-5.02912459195256
"127","1416321_s_at","Prelp","proline arginine-rich end leucine-rich repeat","116847",0.219976273928944,11.6344154053759,0.879091122279531,0.395427978560824,0.992630117217603,-4.79842959640204
"128","1416332_at","Cirbp","cold inducible RNA binding protein","12696",-0.533575352624158,9.43543420266362,-1.52218604360739,0.152085982536602,0.992630117217603,-4.38631221343136
"129","1416335_at","Mif","macrophage migration inhibitory factor (glycosylation-inhibiting factor)","17319",0.03031241886403,10.7730293852922,0.145538889068333,0.886534313917557,0.995461297879057,-5.02407949124939
"130","1416337_at","Uqcrb","ubiquinol-cytochrome c reductase binding protein","67530",-0.405381116244719,9.50791718728627,-1.56781468636132,0.141111730953143,0.992630117217603,-4.35171425662673
"131","1416342_at","Tnc","tenascin C","21923",0.338618698069952,9.12708752636094,1.02870298784391,0.322517251495049,0.992630117217603,-4.71733096651287
"132","1416343_a_at","Lamp2","lysosomal-associated membrane protein 2","16784",-0.431500820192063,9.9477742322202,-1.13656188482595,0.276389199350241,0.992630117217603,-4.65272687500488
"133","1416345_at","Timm8a1","translocase of inner mitochondrial membrane 8A1","30058",-0.123468483804107,8.86537739728511,-0.710975329527547,0.489752452808322,0.992630117217603,-4.87661179276152
"134","1416362_a_at","Fkbp4","FK506 binding protein 4","14228",0.000496715316025131,9.86211586436402,0.00196374403695353,0.99846319509982,0.999936140164523,-5.03070685171627
"135","1416365_at","Hsp90ab1","heat shock protein 90 alpha (cytosolic), class B member 1","15516",0.0532093007558743,11.5060172556971,0.0741521041132912,0.942026566842643,0.995461297879057,-5.02898586356113
"136","1416368_at","Gsta4","glutathione S-transferase, alpha 4","14860",-0.14689966673212,10.3852984047262,-0.726624847546333,0.480430609516549,0.992630117217603,-4.86994623986752
"137","1416380_at","Mov10","Mov10 RISC complex RNA helicase","17454",-0.213179746025468,8.02233846165063,-1.16837166221671,0.263790781939598,0.992630117217603,-4.63275985419582
"138","1416382_at","Ctsc","cathepsin C","13032",-0.243120069418033,11.9597960662822,-1.13985271275424,0.275064890673773,0.992630117217603,-4.65067996188927
"139","1416386_a_at","M6pr","mannose-6-phosphate receptor, cation dependent","17113",-0.216639297396531,10.7837602489497,-0.534707337325379,0.601944878035641,0.992630117217603,-4.94251523869628
"140","1416407_at","Pea15a","phosphoprotein enriched in astrocytes 15A","18611",0.0103151370062875,10.3310736694493,0.0329221152530011,0.974240503795142,0.998801318155266,-5.03036849990783
"141","1416410_at","Pafah1b3","platelet-activating factor acetylhydrolase, isoform 1b, subunit 3","18476",-0.139104311992106,8.05009438063336,-0.510600720342705,0.61825343777539,0.992630117217603,-4.95017847970175
"142","1416411_at","Gstm2","glutathione S-transferase, mu 2","14863",-0.0896060644973087,10.9405355790235,-0.486299647971548,0.634909501759213,0.992630117217603,-4.95756550325891
"143","1416414_at","Emilin1","elastin microfibril interfacer 1","100952",0.0805403952152535,9.41960512989298,0.273206552273096,0.789018262573275,0.992630117217603,-5.00741795384265
"144","1416418_at","Gabarapl1","gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1","57436",-0.384674326994009,9.85805299514843,-1.64434595933476,0.124233887916663,0.992630117217603,-4.29248709249658
"145","1416422_a_at","Ssb","Sjogren syndrome antigen B","20823",-0.285135487381021,7.17045844197538,-1.04057999619666,0.317176245670383,0.992630117217603,-4.71045935096159
"146","1416424_at","Plin3","perilipin 3","66905",0.021834538507477,9.3125543583742,0.0905193801400081,0.929264540351266,0.995461297879057,-5.02814207239275
"147","1416430_at","Cat","catalase","12359",-0.11089498558276,10.5963366255169,-0.440220978005304,0.667061161670328,0.992630117217603,-4.97063087354833
"148","1416431_at","Tubb6","tubulin, beta 6 class V","67951",-0.114093978814735,8.50645771027925,-0.517714764076627,0.613418156958477,0.992630117217603,-4.94795161266963
"149","1416432_at","Pfkfb3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","170768",-0.0596923018167157,9.28547348321811,-0.149311010779944,0.883616627543862,0.995034819128511,-5.02373186179934
"150","1416433_at","Rpa2","replication protein A2","19891",-0.168912760695442,7.26443036723361,-1.02076436397697,0.326123639178558,0.992630117217603,-4.72188956470242
"151","1416434_at","Bcl2l10","Bcl2-like 10","12049",0.127661315710569,6.86607029791809,0.473655012085433,0.643659558889197,0.992630117217603,-4.96127405289239
"152","1416441_at","Cpq","carboxypeptidase Q","54381",-0.217617217958534,9.58780539079549,-0.761858533455652,0.459843731789446,0.992630117217603,-4.85446983000221
"153","1416443_a_at","Sae1","SUMO1 activating enzyme subunit 1","56459",-0.21473765787848,10.283918349918,-1.12894397416037,0.279473489224071,0.992630117217603,-4.6574484834319
"154","1416447_at","Tmem30a","transmembrane protein 30A","69981",-0.0501513748467541,9.61405287108359,-0.144813684293491,0.887095449122227,0.995461297879057,-5.02414530971378
"155","1416449_x_at","Stxbp2","syntaxin binding protein 2","20911",-0.0898678419741454,9.39802460962354,-0.5058330836243,0.62150432265674,0.992630117217603,-4.95165459113666
"156","1416456_a_at","Chia1","chitinase, acidic 1","81600",-0.270037946693627,10.4682665811175,-1.05147213239007,0.312335462656092,0.992630117217603,-4.7041037029501
"157","1416459_at","Arf2","ADP-ribosylation factor 2","11841",-0.311157156763104,9.13698357127904,-1.14684754336304,0.272266117560053,0.992630117217603,-4.64631468649255
"158","1416462_at","Caprin1","cell cycle associated protein 1","53872",-0.161005934584521,11.2501235896001,-0.730054773457011,0.478402071671102,0.992630117217603,-4.86846811644364
"159","1416465_a_at","Vapa","vesicle-associated membrane protein, associated protein A","30960",-0.308379783075006,10.2625633409357,-1.35017504701868,0.200167523838045,0.992630117217603,-4.51133645737636
"160","1416467_at","Ddx3x","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked","13205",0.131404320811221,10.3531571562559,0.287722627863379,0.778128185961579,0.992630117217603,-5.00488879665901
"161","1416468_at","Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1","11668",0.0663000398283788,12.7498388139508,0.326185048260497,0.749514080020674,0.992630117217603,-4.99756722035178
